date,Kemi Badenoch,Keir Starmer,Ed Davey,Zack Polanski,Nigel Farage,Jeremy Corbyn
14 Jul 2025,19,23,27,9,30,25
15 Aug 2025,21,24,30,9,32,26
11 Sep 2025,19,21,27,10,30,28
14 Oct 2025,21,21,29,17,30,25
17 Nov 2025,19,19,21,11,30,16
15 Dec 2025,26,18,26,23,29,16
07 Jan 2026,25,18,26,20,28,15
12 Jan 2026,25,18,26,21,28,15
27 Jan 2026,22,15,21,22,28,14
02 Feb 2026,26,17,22,21,32,16
01 Mar 2026,29,20,23,27,36,18
02 Apr 2026,30,19,23,27,37,18
05 Apr 2026,24,19,24,27,34,20
03 May 2026,26,19,24,26,36,19
15 May 2026,16,09,14,16,26,40
